business_id,name,address,city,state,type,statut,date_statut,latitude,longitude,x,y,gps
123405,ROTISSERIE FUMOIR UNDERDOG BBQ,5054   Rue Castille ,Montréal-Nord,"Québec, Canada",Restaurant,Fermé,20220606,45.597427,-73.624934,295053.2,5050843.42,"45.5972096,-73.6249397"
123406,COURCHESNE LAROSE,9761   Boulevard Sciences ,Anjou,"Québec, Canada",Distributeur en gros de fruits et légumes frais,Sous inspection fédérale,20210609,45.626043,-73.551943,300749.67,5054017.38,"45.6266269,-73.553484"
123407,PRODUITS KIWICHASEEDS,5314   Place De Jumonville ,Montréal,"Québec, Canada",Cuisine domestique,Fermé,20210908,45.574678,-73.554453,300550.1,5048309.16,"45.5750445,-73.554858"
123408,CHARCUTERIE MAKO,2894   Boulevard Rosemont ,Montréal,"Québec, Canada",Épicerie,Ouvert,20210610,45.550409,-73.582838,298331.95,5045613.99,"45.5502688,-73.5826123"
123409,LES MARINADES DE DELLA,9657   Avenue Charton ,Montréal,"Québec, Canada",Cuisine domestique,Fermé,20220517,45.566494,-73.645385,293451.51,5047408.47,"45.5666473,-73.6452319"
123410,ECOLE SOPHIE-BARAT,1239   Boulevard Gouin Est,Montréal,"Québec, Canada",Autres,Fermé,20210531,45.561853,-73.666133,291830.87,5046895.88,"45.5623389,-73.6668184"
123411,BOULANGERIE PATISSERIE LA FLEUR DE SEL INC.,2344   Rue Jean-Talon Est,Montréal,"Québec, Canada",Boulangerie,Ouvert,20210528,45.552338,-73.603164,296745.2,5045830.19,"45.5521982,-73.6031092"
122851,RESTAURANT TAVLA,4627   Rue Jarry Est,St-Léonard,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20240410,45.57681,-73.598004,297151.42,5048549.34,"45.5767944,-73.5985731"
122907,ALLO SIMONNE,5550  528 Rue Fullum ,Montréal,"Québec, Canada",Pâtisserie/Boulangerie,Sous inspection fédérale,20220718,45.542654,-73.581261,298454.25,5044752.08,"45.5360932,-73.5671907"
122968,YUMMY SUSHI,2037   Rue Jean-Talon Est,Montréal,"Québec, Canada",Restaurant,Fermé,20230202,45.550211,-73.605033,296598.93,5045593.99,"45.5502015,-73.6052261"
123047,POINT G PLAISIRS GOURMANDS,1255   Avenue Mont-Royal Est,Montréal,"Québec, Canada",Épicerie,Ouvert,20210210,45.529382,-73.577928,298713.11,5043276.8,
123048,KABIGA THES,1448 A  Rue Saint-Mathieu ,Montréal,"Québec, Canada",Restaurant mets pour emporter,Fermé changement d'exploitant,20221205,45.494411,-73.580264,298526.75,5039390.64,"48.8862485,2.3550145"
123124,PIZZA MONTREAL,1534   Rue Jarry Est,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20220329,45.551904,-73.620204,295414.68,5045783.87,"45.5517539,-73.6201395"
123139,BOULANGERIE TEL PERE TEL FILS,8321   Rue Hochelaga ,Montréal,"Québec, Canada",Boulangerie,Fermé,20230404,45.597267,-73.522418,303051.01,5050818.3,"45.5973806,-73.5225578"
123142,MAISON BAGATELLE,80   Rue Notre-Dame Ouest,Montréal,"Québec, Canada",Restaurant,Ouvert,20210312,45.505144,-73.556483,300386.23,5040581.82,"45.5050656,-73.5562647"
123205,L'ARTISAN DE LA MER,3421   Avenue Parc ,Montréal,"Québec, Canada",Épicerie,Fermé,20240226,45.508687,-73.571958,299177.35,5040976.57,"45.508921,-73.571501"
123206,LA CUISINE THAI DE MIA,1743   Rue Saint-Denis ,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20250117,45.515611,-73.564607,299752.38,5041745.54,"45.5157473,-73.56455"
123454,SUSHI SAINT-DENIS,5800   Rue Saint-Denis ,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20230815,45.530729,-73.597914,297152.15,5043428.25,"45.5304667,-73.5984555"
124162,DOLLARAMA (1085) - CARREFOUR CARNAVAL,6789   Rue Jean-Talon Est,St-Léonard,"Québec, Canada",Magasin à rayons,Ouvert,20211109,45.595099,-73.572383,299152.82,5050579.69,"45.5955297,-73.5733669"
124313,CASSE-CROUTE STEVE ET ANNA,3302   Rue Bélanger ,Montréal,"Québec, Canada",Restaurant,Ouvert,20220203,45.558008,-73.593385,297509.45,5046459.44,"45.5579209,-73.5932846"
121661,POUTINEVILLE,5405   Chemin Queen-Mary ,Montréal,"Québec, Canada",Restaurant service rapide,Ouvert,20200406,45.482162,-73.630508,294597.54,5038034.58,"45.4839971,-73.6289299"
121785,R.D.-PHAR.INC (JEAN-COUTU #111),8315   Boulevard Maurice-Duplessis ,Montréal,"Québec, Canada",Épicerie,Ouvert,20210226,45.634998,-73.584975,298175.06,5055014.7,"45.635015,-73.5855707"
121855,9394-1326 QUEEC INC./ CHEZ LAYLA,138  P-2 Avenue Atwater ,Montréal,"Québec, Canada",Restaurant mets pour emporter,Fermé,20240808,45.480032,-73.576542,298816.13,5037792.47,"37.3495697,-120.5690129"
121964,RESTAURANT OLU OLU,4986 A  Chemin Queen-Mary ,Montréal,"Québec, Canada",Restaurant,Ouvert,20200608,45.486314,-73.626855,294883.88,5038495.53,"45.4857512,-73.6271217"
122074,RDJESS,9820  100 Rue Meilleur ,Montréal,"Québec, Canada",Traiteur,Fermé,20210426,45.539829,-73.663086,292063.81,5044447.79,"45.7616667,-73.4391314"
122162,TRAITEUR LUCILLE'S (PLAQUE L853337),171   Rue Saint-Jacques ,Lachine,"Québec, Canada",Camion-cuisine,Ouvert,20210706,45.445085,-73.645806,293394.18,5033916.26,"48.8456819,2.3427961"
122163,SUSHI SAMA,520   Avenue Greene ,Montréal,"Québec, Canada",Restaurant,Fermé,20230731,45.480795,-73.578895,298632.25,5037877.47,"49.9270933,-97.0868581"
122164,RAMASSAGE PENGUIN,3257  3255 Rue Saint-Jacques ,Montréal,"Québec, Canada",Restaurant,Fermé,20201009,45.483033,-73.580848,298479.8,5038126.32,"48.8499174,2.3450091"
122165,LUCILLE ATWATER,138   Avenue Atwater ,Montréal,"Québec, Canada",Casse-croûte,Ouvert,20200805,45.480032,-73.576542,298816.13,5037792.47,"45.4785346,-73.5760482"
122166,TRAITEUR PHOENIX,3700  108 Rue Saint-Patrick ,Montréal,"Québec, Canada",Traiteur,Fermé changement d'exploitant,20210728,45.470871,-73.580783,298483.57,5036774.72,"45.4698702,-73.5824455"
122472,FRAICHEMENT BON,2901   Rue Masson ,Montréal,"Québec, Canada",Épicerie avec préparation,Ouvert,20250416,45.548142,-73.574861,298954.62,5045361.44,"45.5482323,-73.5749517"
122473,MARCHE ST. HENRI PLUS,5086   Rue Notre-Dame Ouest,Montréal,"Québec, Canada",Épicerie avec préparation,Ouvert,20201009,45.469942,-73.591743,297626.45,5036672.45,"45.4698315,-73.5916099"
122604,SUSHI SAMA,286   Rue Notre-Dame Ouest,Montréal,"Québec, Canada",Restaurant service rapide,Fermé,20230306,45.502603,-73.558384,300237.48,5040299.58,"45.5025069,-73.558257"
122647,CHEERS EVENEMENTS,827   Boulevard Crémazie Est,Montréal,"Québec, Canada",Événements spéciaux,Fermé,20250409,45.549416,-73.634974,294260.97,5045509.13,"45.5495997,-73.6352138"
122922,PATISSERIE LIEN PHAT,5977   Rue Saint-Hubert ,Montréal,"Québec, Canada",Pâtisserie/Boulangerie,Ouvert,20210108,45.534251,-73.59895,297071.7,5043819.74,"45.5343792,-73.5988891"
122923,LITTLE J'S BAKERY,4942   Rue Prince ,Pierrefonds,"Québec, Canada",Cuisine domestique,Ouvert,20210108,45.508292,-73.794715,281771.31,5040972.37,"45.508178,-73.7949366"
122924,TRAJET,3566   Rue Bélanger ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Fermé,20210623,45.560001,-73.591641,297645.85,5046680.7,"45.5599214,-73.5915413"
122940,CAFE LA LIPPEE,3981  30 Boulevard Saint-Laurent ,Montréal,"Québec, Canada",Restaurant,Fermé,20221117,45.516614,-73.57862,298657.66,5041857.98,"45.5405911,-73.6368612"
122942,GARDERIE EDUCATIVES LES FUTURS GENIES,260   Boulevard Henri-Bourassa Ouest,Montréal,"Québec, Canada",Garderie,Ouvert,20210118,45.546755,-73.672967,291293.77,5045219.19,"45.5463163,-73.6729819"
122943,BOURASSA DELI EXPRESS,8000   Boulevard Henri-Bourassa Est,Anjou,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20220802,,,,,"45.6253978,-73.5809321"
122944,SUSHI SHOP,633   Avenue 32e ,Lachine,"Québec, Canada",Restaurant,Fermé,20240419,45.440192,-73.692482,289741.54,5033380.28,"40.1710136,-95.9541574"
122945,METRO ST-HUBERT,5300   Rue Saint-Hubert ,Montréal,"Québec, Canada",Supermarché,Fermé changement d'exploitant,20220204,45.530028,-73.590279,297748.42,5043349.68,"45.5299375,-73.5907465"
122946,PIZZA DESI,958   Rue Jarry Ouest,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20231219,45.52838,-73.637451,294063.53,5043171.79,"45.5284612,-73.6371599"
122947,RESTAURANT THALI INDIENNE,6416   Rue Saint-Hubert ,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20220330,45.535959,-73.602715,296777.94,5044009.95,"45.5359155,-73.6028844"
122949,MR EMPANADA,101   Avenue Pins Est,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20220808,45.516011,-73.574285,298996.22,5041790.7,"19.4885274,-71.8147449"
122972,MARCHE BRANCHE OLIVIER N.D.G (9389-8781 QUEBEC INC),5768   Rue Sherbrooke Ouest,Montréal,"Québec, Canada",Épicerie,Ouvert,20210126,45.470058,-73.616795,295667.59,5036687.86,"45.4699443,-73.6165443"
123019,DEPANNEUR A-TOUT-PRIX,180   Rue Saint-Jacques ,Lachine,"Québec, Canada",Épicerie avec préparation,Ouvert,20210617,45.445254,-73.645524,293416.28,5033935.06,"48.8463409,2.3430492"
123067,GARDERIE ET JARDIN D'ENFANTS MONTESSORI,565   Rue Jarry Ouest,Montréal,"Québec, Canada",Garderie,Ouvert,20210215,45.531508,-73.635605,294208.34,5043519.12,"45.5315525,-73.6358337"
123082,PIZZA MASSON,2585   Rue Masson ,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20240711,45.54497,-73.576785,298803.99,5045009.11,"45.5450242,-73.5769245"
123083,RESTAURANT KIM JIIAN,3270   Rue Jean-Talon Est,Montréal,"Québec, Canada",Restaurant,Fermé,20210423,45.559287,-73.597932,297154.61,5046602.0,"45.5592694,-73.5977289"
123084,LE GRAND MEDITERRANEEN CAFE RESTO,3575   Rue Jean-Talon Est,Montréal,"Québec, Canada",Restaurant,Ouvert,20210322,45.561986,-73.595511,297344.02,5046901.63,"45.5620869,-73.5957326"
123085,LA GEEKSCUITERIE (CUISINE DOMESTIQUE),935   Rue Fleury Est,Montréal,"Québec, Canada",Cuisine domestique,Ouvert,20210218,45.557344,-73.659607,292339.34,5046393.72,"45.5575202,-73.6597158"
123086,PIO PIO MTL,4552   Rue Saint-Denis ,Montréal,"Québec, Canada",Restaurant,Fermé,20210318,45.524331,-73.583741,298258.43,5042716.0,"45.5242256,-73.5839699"
123087,MONT TACOS - DECARIE,942   Boulevard Décarie ,St-Laurent,"Québec, Canada",Restaurant,Fermé,20250703,45.513279,-73.681323,290632.91,5041500.37,"45.5129945,-73.6812196"
123088,FAMILIPRIX EXTRA,2600  192 Rue Ontario Est,Montréal,"Québec, Canada",Épicerie,Ouvert,20210505,45.533752,-73.552052,300734.54,5043760.83,"45.5133485,-73.5650619"
123089,DE LA RUE MAY,4437   Rue Wellington ,Verdun,"Québec, Canada",Épicerie avec préparation,Fermé,20220527,45.459607,-73.567298,299536.92,5035522.03,
123090,MARCHE PANIER LAKAY,6763   Rue Beaubien Est,Montréal,"Québec, Canada",Épicerie avec préparation,Ouvert,20210218,45.590958,-73.559079,300190.44,5050118.68,"45.590992,-73.55945"
