id_poursuite,business_id,date,description,adresse,date_jugement,etablissement,montant,proprietaire,ville,statut,date_statut,categorie,gps
6432,813,20190130,"Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","434 Rue Jarry Est, Montréal, Québec",20200312,LE ROI DE LA POINTE DE PIZZA,1100,9123-8907 QUEBEC INC.,Montréal,Fermé,20201204,Restaurant service rapide,"45.5430728,-73.6287276"
3064,813,20151229,"Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.","434 Rue Jarry Est, Montréal, Québec",20170109,LE ROI DE LA POINTE DE PIZZA,400,9123-8907 QUEBEC INC.,Montréal,Fermé,20201204,Restaurant service rapide,"45.5430728,-73.6287276"
5743,813,20180828,"Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.","434 Rue Jarry Est, Montréal, Québec",20200214,LE ROI DE LA POINTE DE PIZZA,800,9123-8907 QUEBEC INC.,Montréal,Fermé,20201204,Restaurant service rapide,"45.5430728,-73.6287276"
1781,827,20130724,"Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.","6521 Av. Somerled, Montréal, Québec",20140114,LE PETIT SZECHUAN,1200,9125-1645 QUEBEC INC.,Montréal,Fermé changement d'exploitant,20141127,Restaurant,"45.4677903,-73.6385889"
2098,857,20140319,"Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","7166 Rue Saint-Denis, Montréal, Québec",20140926,RESTAURANT PHO NAM DO,1250,9177-1295 QUEBEC INC.,Montréal,Fermé changement d'exploitant,20150129,Restaurant,"45.5382259,-73.6148896"
4523,864,20170817,"Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","705 Rue Sainte-Catherine Ouest, Local 1228, Montréal, Québec",20170823,RESTAURANT NOUVEAU AMIR,250,9154-8214 QUEBEC INC.,Montréal,Fermé,20240124,Restaurant service rapide,"45.5026421,-73.5707995"
1365,883,20120412,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","5505 Av. Victoria, Montréal, Québec",20130326,MARCHE KIM PO,3000,2848-7304 QUEBEC INC.,Montréal,Ouvert,19930304,Boucherie-épicerie,"45.4921237,-73.6321493"
5319,883,20180314,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","5505 Av. Victoria, Montréal, Québec",20201008,MARCHE KIM PO,3000,2848-7304 QUEBEC INC.,Montréal,Ouvert,19930304,Boucherie-épicerie,"45.4921237,-73.6321493"
5554,883,20180502,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","5505 Av. Victoria, Montréal, Québec",20191016,MARCHE KIM PO,3000,2848-7304 QUEBEC INC.,Montréal,Ouvert,19930304,Boucherie-épicerie,"45.4921237,-73.6321493"
9252,883,20230614,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","5505 Av. Victoria, Montréal, Québec",20240903,MARCHE KIM PO,3500,2848-7304 QUEBEC INC.,Montréal,Ouvert,19930304,Boucherie-épicerie,"45.4921237,-73.6321493"
10192,883,20240925,"Il est interdit dans un établissement de distribuer sur place, pour emporter ou par livraison, les articles à usage unique suivants: barquette #6, Assiette #6, Contenant et couvercle #6, Couvercle de tasse ou verre #6, Tasse ou verre, Bâtonnet, Paille, Ustensile #1, #2, ,3, #4, #5, #6.","5505 Av. Victoria, Montréal, Québec",20250307,MARCHE KIM PO,400,2848-7304 QUEBEC INC.,Montréal,Ouvert,19930304,Boucherie-épicerie,"45.4921237,-73.6321493"
6086,934,20180922,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","6700 Ch. de la Côte-des-Neiges, Local 177, Montréal, Québec",20201113,ZIESCO (LA MAISON DU CLUB),1000,2963-0795 QUEBEC INC.,Montréal,Fermé,20200803,Restaurant service rapide,"45.5017114,-73.6383573"
1269,1262,20111121,"Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","7275 Rue Sherbrooke Est, Local 4, Montréal, Québec",20130222,RESTAURANT AMIR,1000,2694328 CANADA INC.,Montréal,Fermé changement d'exploitant,20121210,Restaurant service rapide,"45.5919853,-73.5424916"
1270,1262,20111121,"Les personnes affectées à la préparation des produits, au lavage ou au nettoyage du matériel et de l'équipement doivent: porter un bonnet ou une résille propre qui recouvre entièrement les cheveux; porter un couvre-barbe propre qui recouvre entièrement la barbe.","7275 Rue Sherbrooke Est, Local 4, Montréal, Québec",20130128,RESTAURANT AMIR,350,2694328 CANADA INC.,Montréal,Fermé changement d'exploitant,20121210,Restaurant service rapide,"45.5919853,-73.5424916"
5528,68197,20180524,"Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","2490 Boul. Saint-Joseph, Lachine, Québec",20180606,AUX TROIS 2/20 (DEVINS),250,2964-5280 QUEBEC INC.,Lachine,Fermé,20220609,Restaurant,"45.4397337,-73.6545763"
2325,6464,20141008,"Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.","7065 Boul. Langelier, St-Léonard, Québec",20150717,PIZZA HUT R 296-33,1250,REDBERRY MARQUE RESTO INC.,St-Léonard,Fermé,20150122,Restaurant,"45.5907119,-73.5682519"
1229,591,20110816,"Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.","8975 Rue Hochelaga, Montréal, Québec",20121120,RESTAURANT CHAN,1900,9029-7748 QUEBEC INC.,Montréal,Fermé changement d'exploitant,20120126,Restaurant,"45.6044143,-73.5183646"
1217,591,20110630,"Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.","8975 Rue Hochelaga, Montréal, Québec",20121120,RESTAURANT CHAN,1800,9029-7748 QUEBEC INC.,Montréal,Fermé changement d'exploitant,20120126,Restaurant,"45.6044143,-73.5183646"
1218,591,20110630,"Les personnes affectées à la préparation des produits, au lavage ou au nettoyage du matériel et de l'équipement doivent: porter un bonnet ou une résille propre qui recouvre entièrement les cheveux; porter un couvre-barbe propre qui recouvre entièrement la barbe.","8975 Rue Hochelaga, Montréal, Québec",20121120,RESTAURANT CHAN,400,9029-7748 QUEBEC INC.,Montréal,Fermé changement d'exploitant,20120126,Restaurant,"45.6044143,-73.5183646"
2835,599,20150902,"Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","7750 Rue Hochelaga, Montréal, Québec",20170515,DEPANNEUR 7750 HOCHELAGA 2005,500,9145-4470 QUEBEC INC.,Montréal,Ouvert,19930111,Épicerie avec préparation,"45.5914327,-73.5249668"
2632,622,20150417,"Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","31 Rue Guizot Est, Montréal, Québec",20160525,BOULANGERIE PATISSERIE GUIZOT,1000,"BOULANGERIE, PATISSERIE GUIZOT INC.",Montréal,Fermé,20180514,Boulangerie,"45.5403793,-73.6343755"
2557,622,20150211,"Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","31 Rue Guizot Est, Montréal, Québec",20160525,BOULANGERIE PATISSERIE GUIZOT,900,"BOULANGERIE, PATISSERIE GUIZOT INC.",Montréal,Fermé,20180514,Boulangerie,"45.5403793,-73.6343755"
3589,622,20160831,"Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","31 Rue Guizot Est, Montréal, Québec",20190225,BOULANGERIE PATISSERIE GUIZOT,1500,"BOULANGERIE, PATISSERIE GUIZOT INC.",Montréal,Fermé,20180514,Boulangerie,"45.5403793,-73.6343755"
3829,622,20161019,"Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","31 Rue Guizot Est, Montréal, Québec",20190225,BOULANGERIE PATISSERIE GUIZOT,1500,"BOULANGERIE, PATISSERIE GUIZOT INC.",Montréal,Fermé,20180514,Boulangerie,"45.5403793,-73.6343755"
7517,717,20191205,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","88 Rue Bernard Ouest, Montréal, Québec",20210616,RESTAURANT THAILANDE,1000,9105-7836 QUEBEC INC.,Montréal,Ouvert,19930505,Restaurant,"45.5261828,-73.6029691"
6411,730,20190129,Le produit périssable vendu chaud ou servi chaud au consommateur doit être gardé à une température interne d'au moins 60C jusqu'à sa livraison.,"7950 Rue Sherbrooke Est, Montréal, Québec",20201130,TABAGIE METRO HONORE-BEAUGRAND,400,GROUPE CSH (HONORE BEAUGRAND) INC.,Montréal,Ouvert,19930621,Épicerie avec préparation,"45.6103081,-73.5270039"
5646,730,20180524,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","7950 Rue Sherbrooke Est, Montréal, Québec",20191017,TABAGIE METRO HONORE-BEAUGRAND,600,GROUPE CSH (HONORE BEAUGRAND) INC.,Montréal,Ouvert,19930621,Épicerie avec préparation,"45.6103081,-73.5270039"
5758,730,20180822,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","7950 Rue Sherbrooke Est, Montréal, Québec",20200929,TABAGIE METRO HONORE-BEAUGRAND,1800,GROUPE CSH (HONORE BEAUGRAND) INC.,Montréal,Ouvert,19930621,Épicerie avec préparation,"45.6103081,-73.5270039"
9821,116217,20240312,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","5343 Ch. Queen-Mary, Montréal, Québec",20250305,EPICERIE HANNA'S HUT,1700,3652904 CANADA INC.,Montréal,Ouvert,20170927,Épicerie avec préparation,"45.4830889,-73.6299011"
10124,116217,20240815,"Il est interdit dans un établissement de distribuer sur place, pour emporter ou par livraison, les articles à usage unique suivants: barquette #6, Assiette #6, Contenant et couvercle #6, Couvercle de tasse ou verre #6, Tasse ou verre, Bâtonnet, Paille, Ustensile #1, #2, ,3, #4, #5, #6.","5343 Ch. Queen-Mary, Montréal, Québec",20250307,EPICERIE HANNA'S HUT,400,3652904 CANADA INC.,Montréal,Ouvert,20170927,Épicerie avec préparation,"45.4830889,-73.6299011"
2769,72610,20150521,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","1800 Boul. Marcel-Laurin, St-Laurent, Québec",20160225,ARAMARK (BOMBARDIER #2297),2000,ARAMARK QUEBEC INC.,St-Laurent,Ouvert,19930330,Cafétéria,"45.5146837,-73.6977863"
5454,72610,20180427,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","1800 Boul. Marcel-Laurin, St-Laurent, Québec",20190411,ARAMARK (BOMBARDIER #2297),2800,ARAMARK QUEBEC INC.,St-Laurent,Ouvert,19930330,Cafétéria,"45.5146837,-73.6977863"
7813,1808,20200910,"Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","3500 Rue Douglas-B.-Floreani, St-Laurent, Québec",20200917,ARAMARK (L'OREAL CANADA),250,ARAMARK QUEBEC INC.,St-Laurent,Ouvert,20011126,Cafétéria,"45.4970455,-73.7661444"
2674,8174,20150521,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","9155 Rue Saint-Hubert, Montréal, Québec",20160112,COLLEGE AHUNTSIC #3254,1500,ARAMARK QUEBEC INC.,Montréal,Fermé,20170920,Cafétéria institution d'enseignement,"45.5527456,-73.6426281"
2560,179,20150312,"Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.","8278 Boul. Maurice-Duplessis, Montréal, Québec",20160329,CHARCUTERIE FROMAGERIE LA PETITE ITALIE (1990) INC.,1000,CHARCUTERIE FROMAGERIE LA PETITE ITALIE (1990) INC.,Montréal,Fermé changement d'exploitant,20230112,Boucherie-épicerie,"45.6342807,-73.5846919"
2802,179,20150717,"Les personnes affectées à la préparation des produits, au lavage ou au nettoyage du matériel et de l'équipement doivent: porter un bonnet ou une résille propre qui recouvre entièrement les cheveux; porter un couvre-barbe propre qui recouvre entièrement la barbe.","8278 Boul. Maurice-Duplessis, Montréal, Québec",20160329,CHARCUTERIE FROMAGERIE LA PETITE ITALIE (1990) INC.,250,CHARCUTERIE FROMAGERIE LA PETITE ITALIE (1990) INC.,Montréal,Fermé changement d'exploitant,20230112,Boucherie-épicerie,"45.6342807,-73.5846919"
2806,179,20150924,"Les personnes affectées à la préparation des produits, au lavage ou au nettoyage du matériel et de l'équipement doivent: porter un bonnet ou une résille propre qui recouvre entièrement les cheveux; porter un couvre-barbe propre qui recouvre entièrement la barbe.","8278 Boul. Maurice-Duplessis, Montréal, Québec",20160329,CHARCUTERIE FROMAGERIE LA PETITE ITALIE (1990) INC.,350,CHARCUTERIE FROMAGERIE LA PETITE ITALIE (1990) INC.,Montréal,Fermé changement d'exploitant,20230112,Boucherie-épicerie,"45.6342807,-73.5846919"
8511,179,20220225,"Tout produit conditionné en vue de la vente doit porter, en caractères indélébiles, très lisibles et apparents, sur le récipient, l'emballage ou l'enveloppe qui le contient les inscriptions nécessaires pour révéler la nature, l'état, la composition, l'utilisation, la quantité exacte, l'origine et toute particularité du produit; les nom et adresse du fabricant, préparateur, conditionneur, emballeur, fournisseur ou distributeur; le lieu de fabrication, préparation ou conditionnement du produit. L'énumération des composants doit figurer par ordre d'importance décroissant. L'indication de poids doit tenir compte de la perte que peut normalement subir le produit après son conditionnement et être exprimée en poids net.","8278 Boul. Maurice-Duplessis, Montréal, Québec",20220322,CHARCUTERIE FROMAGERIE LA PETITE ITALIE (1990) INC.,500,CHARCUTERIE FROMAGERIE LA PETITE ITALIE (1990) INC.,Montréal,Fermé changement d'exploitant,20230112,Boucherie-épicerie,"45.6342807,-73.5846919"
4161,179,20170313,"Dans un local, une aire ou un véhicule utilisé pour la préparation des produits personne ne peut y faire usage de tabac.","8278 Boul. Maurice-Duplessis, Montréal, Québec",20170323,CHARCUTERIE FROMAGERIE LA PETITE ITALIE (1990) INC.,250,CHARCUTERIE FROMAGERIE LA PETITE ITALIE (1990) INC.,Montréal,Fermé changement d'exploitant,20230112,Boucherie-épicerie,"45.6342807,-73.5846919"
8492,116450,20220111,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","4680 Av. du Parc, Montréal, Québec",20221129,COUCHE-TARD #1258,2500,COUCHE-TARD INC.,Montréal,Ouvert,20180207,Épicerie avec préparation,"45.5176917,-73.5922601"
8493,116450,20220115,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","4680 Av. du Parc, Montréal, Québec",20221129,COUCHE-TARD #1258,2000,COUCHE-TARD INC.,Montréal,Ouvert,20180207,Épicerie avec préparation,"45.5176917,-73.5922601"
8509,116450,20220217,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","4680 Av. du Parc, Montréal, Québec",20221129,COUCHE-TARD #1258,3000,COUCHE-TARD INC.,Montréal,Ouvert,20180207,Épicerie avec préparation,"45.5176917,-73.5922601"
8603,4812,20220531,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","2010 Rue Beaubien Est, Montréal, Québec",20230222,DEPAN-ESCOMPTE COUCHE-TARD #324,1000,COUCHE-TARD INC.,Montréal,Ouvert,19940322,Épicerie avec préparation,"45.5450001,-73.5946388"
8759,52177,20220909,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","2460 Ch. Rockland, Mont-Royal, Québec",20240417,COUCHE-TARD,3000,COUCHE-TARD INC.,Mont-Royal,Ouvert,19930804,Épicerie,"45.5265114,-73.6502012"
3981,4566,20161117,"Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.","159 Rue Saint-Antoine Ouest, Local 398-39, Montréal, Québec",20190129,COUCHE-TARD #398,1200,COUCHE-TARD INC.,Montréal,Ouvert,20030505,Restaurant service rapide,"45.5042163,-73.5598497"
9224,116434,20230606,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","180 Boul. Crémazie Ouest, Montréal, Québec",20240417,COUCHE-TARD #1259,4000,COUCHE-TARD INC.,Montréal,Ouvert,20171005,Épicerie avec préparation,"45.5390788,-73.6425975"
9651,115621,20231221,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","115 Boul. Crémazie Ouest, Montréal, Québec",20250416,COUCHE- TARD #1155,5500,COUCHE-TARD INC.,Montréal,Ouvert,20170612,Épicerie,"45.540077,-73.6433407"
9333,115621,20230707,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","115 Boul. Crémazie Ouest, Montréal, Québec",20250416,COUCHE- TARD #1155,4500,COUCHE-TARD INC.,Montréal,Ouvert,20170612,Épicerie,"45.540077,-73.6433407"
8816,5182,20220817,"Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","2707 Rue De Salaberry, Montréal, Québec",20240417,COUCHE-TARD #632,3500,COUCHE-TARD INC.,Montréal,Ouvert,20030728,Épicerie avec préparation,"45.5375746,-73.7006875"
2424,64,20140314,"Tout produit conditionné en vue de la vente doit porter, en caractères indélébiles, très lisibles et apparents, sur le récipient, l'emballage ou l'enveloppe qui le contient les inscriptions nécessaires pour révéler la nature, l'état, la composition, l'utilisation, la quantité exacte, l'origine et toute particularité du produit; les nom et adresse du fabricant, préparateur, conditionneur, emballeur, fournisseur ou distributeur; le lieu de fabrication, préparation ou conditionnement du produit. L'énumération des composants doit figurer par ordre d'importance décroissant. L'indication de poids doit tenir compte de la perte que peut normalement subir le produit après son conditionnement et être exprimée en poids net.","8063 Av. André-Ampère, Montréal, Québec",20151021,DISTRIBUTION MULTI-VIANDE,800,9136-8696 QUEBEC INC.,Montréal,Fermé changement d'exploitant,20210908,Boucherie,"45.6355678,-73.5921134"
2610,94,20150408,"Les personnes affectées à la préparation des produits, au lavage ou au nettoyage du matériel et de l'équipement doivent: porter un bonnet ou une résille propre qui recouvre entièrement les cheveux; porter un couvre-barbe propre qui recouvre entièrement la barbe.","9597 Boul. Maurice-Duplessis, Montréal, Québec",20160525,RESTAURANT PIZZERIA PEETY POPS,250,GUARRAGGI PETER,Montréal,Ouvert,19930611,Restaurant,"45.6508899,-73.561973"
